"Huc6_Vahu6","FDT_SPG_CODE","nObservations","yearsSampled","nYearsSampled","n_Samples_2011","n_Samples_2012","n_Samples_2013","n_Samples_2014","n_Samples_2015","n_Samples_2016","n_Samples_2017","n_Samples_2018","n_Samples_2015_2018","n_Samples_IR2018","n_Samples_IR2020","n_Samples_IR2022"
"JA06","RB, IM",20,"2015, 2016",2,NA,NA,NA,NA,"6 : IM | 2 : RB","12 : IM",NA,NA,"IM: 18 | RB: 2 | Total: 20","IM: 18 | RB: 2 | Total: 20","IM: 18 | RB: 2 | Total: 20","IM: 18 | RB: 2 | Total: 20"
"JA07","AW, FP, RB",15,"2011, 2012, 2016",3,"6 : AW","6 : AW | 1 : FP",NA,NA,NA,"2 : RB",NA,NA,"RB: 2 | Total: 2","AW: 12 | FP: 1 | RB: 2 | Total: 15","RB: 2 | Total: 2","RB: 2 | Total: 2"
"JA08","RB, TR",39,"2014, 2012, 2011, 2013, 2015, 2016",6,"6 : TR","1 : RB | 6 : TR","6 : TR","2 : RB | 6 : TR","6 : TR","6 : TR",NA,NA,"TR: 12 | Total: 12","TR: 36 | RB: 3 | Total: 39","TR: 24 | RB: 2 | Total: 26","TR: 12 | Total: 12"
"JA09","CB, BN, TR, PA, FP",89,"2011, 2012, 2013, 2014, 2015, 2016",6,"11 : BN | 3 : CB","11 : BN | 1 : CB","13 : BN","12 : BN","11 : BN","11 : BN | 1 : FP | 2 : PA | 13 : TR",NA,NA,"BN: 22 | FP: 1 | PA: 2 | TR: 13 | Total: 38","BN: 69 | CB: 4 | FP: 1 | PA: 2 | TR: 13 | Total: 89","BN: 47 | FP: 1 | PA: 2 | TR: 13 | Total: 63","BN: 22 | FP: 1 | PA: 2 | TR: 13 | Total: 38"
"JA10","TM, IM, RL, RB",406,"2013, 2014, 2015, 2016, 2011, 2012",6,"123 : RL","1 : RB","2 : RB | 112 : RL | 12 : TM","2 : RB | 12 : TM","12 : IM | 2 : RB | 104 : RL","24 : IM",NA,NA,"IM: 36 | RB: 2 | RL: 104 | Total: 142","RL: 339 | RB: 7 | TM: 24 | IM: 36 | Total: 406","RB: 6 | RL: 216 | TM: 24 | IM: 36 | Total: 282","IM: 36 | RB: 2 | RL: 104 | Total: 142"
"JA11","FP, PA, RB",16,"2014, 2012",2,NA,"2 : RB",NA,"2 : FP | 12 : PA",NA,NA,NA,NA,NA,"RB: 2 | FP: 2 | PA: 12 | Total: 16","FP: 2 | PA: 12 | Total: 14",NA
"JA12","AW, RB, TM, IM",38,"2014, 2015, 2016",3,NA,NA,NA,"12 : AW | 4 : RB","4 : RB | 6 : TM","12 : IM",NA,NA,"RB: 4 | TM: 6 | IM: 12 | Total: 22","AW: 12 | RB: 8 | TM: 6 | IM: 12 | Total: 38","AW: 12 | RB: 8 | TM: 6 | IM: 12 | Total: 38","RB: 4 | TM: 6 | IM: 12 | Total: 22"
"JA13","AW",12,"2013",1,NA,NA,"12 : AW",NA,NA,NA,NA,NA,NA,"AW: 12 | Total: 12","AW: 12 | Total: 12",NA
"JA14","TM, FP, RB, RL, AW",596,"2013, 2014, 2012, 2011, 2015",5,"6 : AW | 175 : RL","6 : AW | 2 : FP | 2 : RB","201 : RL | 12 : TM","2 : RB | 34 : RL | 12 : TM","144 : RL",NA,NA,NA,"RL: 144 | Total: 144","AW: 12 | RL: 554 | FP: 2 | RB: 4 | TM: 24 | Total: 596","RL: 379 | TM: 24 | RB: 2 | Total: 405","RL: 144 | Total: 144"
"JA15","TM",24,"2011, 2012, 2013, 2014",4,"6 : TM","6 : TM","6 : TM","6 : TM",NA,NA,NA,NA,NA,"TM: 24 | Total: 24","TM: 12 | Total: 12",NA
"JA16","RB, AW",14,"2011, 2012",2,"6 : AW | 2 : RB","6 : AW",NA,NA,NA,NA,NA,NA,NA,"AW: 12 | RB: 2 | Total: 14",NA,NA
"JA18","AW, RB, FP",20,"2011, 2012, 2013, 2016",4,"6 : AW","6 : AW | 2 : RB","2 : FP | 2 : RB",NA,NA,"2 : RB",NA,NA,"RB: 2 | Total: 2","AW: 12 | RB: 6 | FP: 2 | Total: 20","FP: 2 | RB: 4 | Total: 6","RB: 2 | Total: 2"
"JA19","TR",36,"2011, 2012, 2013, 2014, 2015, 2016",6,"6 : TR","6 : TR","6 : TR","6 : TR","6 : TR","6 : TR",NA,NA,"TR: 12 | Total: 12","TR: 36 | Total: 36","TR: 24 | Total: 24","TR: 12 | Total: 12"
"JA24","TM, QA, IM",43,"2011, 2012, 2013, 2014, 2015, 2016",6,"6 : TM","3 : QA | 3 : TM","1 : IM | 5 : QA","7 : IM","6 : IM","12 : TM",NA,NA,"IM: 6 | TM: 12 | Total: 18","TM: 21 | QA: 8 | IM: 14 | Total: 43","IM: 14 | QA: 5 | TM: 12 | Total: 31","IM: 6 | TM: 12 | Total: 18"
"JA29","AW, TM, PA, IM, QA",153,"2011, 2012, 2013, 2014, 2015, 2016",6,"6 : AW | 24 : TM","6 : AW | 24 : TM","17 : IM | 12 : PA | 3 : QA | 5 : TM","24 : IM | 4 : QA | 1 : TM","10 : IM | 5 : QA","12 : TM",NA,NA,"IM: 10 | QA: 5 | TM: 12 | Total: 27","AW: 12 | TM: 66 | IM: 51 | PA: 12 | QA: 12 | Total: 153","IM: 51 | PA: 12 | QA: 12 | TM: 18 | Total: 93","IM: 10 | QA: 5 | TM: 12 | Total: 27"
"JA30","TM, IM, RL, QA",202,"2011, 2012, 2013, 2014, 2015",5,"24 : TM","24 : TM","21 : IM | 5 : QA | 40 : RL | 4 : TM","22 : IM | 1 : QA | 40 : RL","21 : IM",NA,NA,NA,"IM: 21 | Total: 21","TM: 52 | IM: 64 | QA: 6 | RL: 80 | Total: 202","IM: 64 | QA: 6 | RL: 80 | TM: 4 | Total: 154","IM: 21 | Total: 21"
"JM01","RB, CB, BN, TR, TM",132,"2013, 2014, 2015, 2016, 2011, 2012, 2017, 2018",8,"11 : BN | 4 : CB | 6 : TR","12 : BN | 1 : CB | 6 : TR","12 : BN | 2 : RB","11 : BN | 2 : RB","12 : BN | 2 : RB","10 : BN | 2 : RB | 12 : TR","11 : BN | 2 : RB | 1 : TM","10 : BN | 1 : RB | 2 : TM","BN: 43 | RB: 7 | TR: 12 | TM: 3 | Total: 65","BN: 68 | CB: 5 | TR: 24 | RB: 8 | Total: 105","BN: 66 | RB: 11 | TR: 12 | TM: 3 | Total: 92","BN: 43 | RB: 7 | TR: 12 | TM: 3 | Total: 65"
"JM02","AW, QA, FP, RB, PA",40,"2011, 2012, 2013, 2015, 2017",5,"6 : AW | 4 : FP","5 : AW | 1 : QA","3 : FP | 2 : RB",NA,"3 : FP | 1 : RB",NA,"2 : FP | 13 : PA",NA,"FP: 5 | RB: 1 | PA: 13 | Total: 19","AW: 11 | FP: 10 | QA: 1 | RB: 3 | Total: 25","FP: 8 | RB: 3 | PA: 13 | Total: 24","FP: 5 | RB: 1 | PA: 13 | Total: 19"
"JM03","TR",36,"2011, 2012, 2013, 2014, 2015, 2016",6,"6 : TR","6 : TR","6 : TR","6 : TR","6 : TR","6 : TR",NA,NA,"TR: 12 | Total: 12","TR: 36 | Total: 36","TR: 24 | Total: 24","TR: 12 | Total: 12"
"JM04","RB, RL, AW, PA",421,"2015, 2016, 2013, 2017, 2018",5,NA,NA,"12 : AW",NA,"4 : RB | 108 : RL","2 : RB | 104 : RL","12 : PA | 89 : RL","90 : RL","RB: 6 | RL: 391 | PA: 12 | Total: 409","AW: 12 | RB: 6 | RL: 212 | Total: 230","AW: 12 | RB: 6 | RL: 391 | PA: 12 | Total: 421","RB: 6 | RL: 391 | PA: 12 | Total: 409"
"JM05","RB, TM, AW",52,"2016, 2011, 2015",3,"36 : TM",NA,NA,NA,"12 : AW","4 : RB",NA,NA,"AW: 12 | RB: 4 | Total: 16","TM: 36 | AW: 12 | RB: 4 | Total: 52","AW: 12 | RB: 4 | Total: 16","AW: 12 | RB: 4 | Total: 16"
"JM06","AW, RB",14,"2014, 2015",2,NA,NA,NA,"12 : AW","2 : RB",NA,NA,NA,"RB: 2 | Total: 2","AW: 12 | RB: 2 | Total: 14","AW: 12 | RB: 2 | Total: 14","RB: 2 | Total: 2"
"JM07","TR, AW, RB, TM",65,"2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018",8,"6 : AW | 2 : RB | 6 : TR","6 : AW | 6 : TR","6 : TR","6 : TR","1 : RB | 6 : TR","6 : TR","1 : TM | 6 : TR","2 : TM | 5 : TR","RB: 1 | TR: 23 | TM: 3 | Total: 27","AW: 12 | RB: 3 | TR: 36 | Total: 51","TR: 35 | RB: 1 | TM: 3 | Total: 39","RB: 1 | TR: 23 | TM: 3 | Total: 27"
"JM08","RB, AW, PA, FP",32,"2011, 2014, 2012, 2015",4,"6 : AW | 2 : RB","6 : AW",NA,"2 : RB","2 : FP | 12 : PA | 2 : RB",NA,NA,NA,"FP: 2 | PA: 12 | RB: 2 | Total: 16","AW: 12 | RB: 6 | FP: 2 | PA: 12 | Total: 32","RB: 4 | FP: 2 | PA: 12 | Total: 18","FP: 2 | PA: 12 | RB: 2 | Total: 16"
"JM09","RB, AW, TM",33,"2011, 2015, 2012, 2017, 2018",5,"6 : AW | 6 : RB","6 : AW",NA,NA,"3 : RB",NA,"6 : AW","5 : AW | 1 : TM","RB: 3 | AW: 11 | TM: 1 | Total: 15","AW: 12 | RB: 9 | Total: 21","RB: 3 | AW: 11 | TM: 1 | Total: 15","RB: 3 | AW: 11 | TM: 1 | Total: 15"
"JM10","RB, AW, TM",24,"2011, 2015, 2018",3,"6 : RB",NA,NA,NA,"12 : AW | 3 : RB",NA,NA,"3 : TM","AW: 12 | RB: 3 | TM: 3 | Total: 18","RB: 9 | AW: 12 | Total: 21","AW: 12 | RB: 3 | TM: 3 | Total: 18","AW: 12 | RB: 3 | TM: 3 | Total: 18"
"JM11","TR, RB, TM",60,"2011, 2012, 2013, 2014, 2015, 2016, 2018, 2017",8,"2 : RB | 6 : TR","2 : RB | 6 : TR","6 : TR","7 : TR","6 : TR","6 : TR","1 : TM | 6 : TR","7 : TM | 5 : TR","TR: 23 | TM: 8 | Total: 31","RB: 4 | TR: 37 | Total: 41","TR: 36 | TM: 8 | Total: 44","TR: 23 | TM: 8 | Total: 31"
"JM12","FP, AW, QA, TM",14,"2012, 2017, 2018",3,NA,"2 : FP",NA,NA,NA,NA,"5 : AW | 1 : QA","5 : AW | 1 : TM","AW: 10 | QA: 1 | TM: 1 | Total: 12","FP: 2 | Total: 2","AW: 10 | QA: 1 | TM: 1 | Total: 12","AW: 10 | QA: 1 | TM: 1 | Total: 12"
"JM13","AW, PA",22,"2013, 2018",2,NA,NA,"12 : AW",NA,NA,NA,NA,"10 : PA","PA: 10 | Total: 10","AW: 12 | Total: 12","AW: 12 | PA: 10 | Total: 22","PA: 10 | Total: 10"
"JM14","AW, TM, PA, FP",26,"2011, 2012, 2014",3,"5 : AW | 2 : FP | 1 : TM","6 : TM",NA,"12 : PA",NA,NA,NA,NA,NA,"AW: 5 | FP: 2 | TM: 7 | PA: 12 | Total: 26","PA: 12 | Total: 12",NA
"JM15","AW",12,"2014",1,NA,NA,NA,"12 : AW",NA,NA,NA,NA,NA,"AW: 12 | Total: 12","AW: 12 | Total: 12",NA
"JM16","AW, RB",18,"2015, 2014",2,NA,NA,NA,"4 : RB","12 : AW | 2 : RB",NA,NA,NA,"AW: 12 | RB: 2 | Total: 14","RB: 6 | AW: 12 | Total: 18","RB: 6 | AW: 12 | Total: 18","AW: 12 | RB: 2 | Total: 14"
"JM17","AW",12,"2013",1,NA,NA,"12 : AW",NA,NA,NA,NA,NA,NA,"AW: 12 | Total: 12","AW: 12 | Total: 12",NA
"JM18","AW",23,"2011, 2012, 2017, 2018",4,"6 : AW","6 : AW",NA,NA,NA,NA,"6 : AW","5 : AW","AW: 11 | Total: 11","AW: 12 | Total: 12","AW: 11 | Total: 11","AW: 11 | Total: 11"
"JM19","AW",12,"2016",1,NA,NA,NA,NA,NA,"12 : AW",NA,NA,"AW: 12 | Total: 12","AW: 12 | Total: 12","AW: 12 | Total: 12","AW: 12 | Total: 12"
"JM20","FP, PA",14,"2016",1,NA,NA,NA,NA,NA,"2 : FP | 12 : PA",NA,NA,"FP: 2 | PA: 12 | Total: 14","FP: 2 | PA: 12 | Total: 14","FP: 2 | PA: 12 | Total: 14","FP: 2 | PA: 12 | Total: 14"
"JM25","BN, TR, RB, FP, PA",52,"2011, 2012, 2013, 2014, 2015, 2016",6,"4 : BN | 2 : RB | 2 : TR","1 : BN | 1 : FP | 5 : TR","6 : TR","2 : FP | 10 : PA | 1 : RB | 6 : TR","6 : TR","6 : TR",NA,NA,"TR: 12 | Total: 12","BN: 5 | RB: 3 | TR: 31 | FP: 3 | PA: 10 | Total: 52","TR: 24 | FP: 2 | PA: 10 | RB: 1 | Total: 37","TR: 12 | Total: 12"
"JM26","AW",12,"2011, 2012",2,"6 : AW","6 : AW",NA,NA,NA,NA,NA,NA,NA,"AW: 12 | Total: 12",NA,NA
"JM28","TM, RB, RL, AW, QA",255,"2011, 2012, 2017, 2018",4,"1 : RB | 55 : RL | 48 : TM","2 : RB | 47 : RL",NA,NA,NA,NA,"6 : AW | 1 : QA | 42 : RL","5 : AW | 48 : RL","AW: 11 | QA: 1 | RL: 90 | Total: 102","RB: 3 | RL: 102 | TM: 48 | Total: 153","AW: 11 | QA: 1 | RL: 90 | Total: 102","AW: 11 | QA: 1 | RL: 90 | Total: 102"
"JM29","TM, RL, AW, RB",436,"2011, 2012, 2013, 2017, 2018",5,"6 : AW | 113 : RL | 13 : TM","6 : AW | 95 : RL","2 : RB",NA,NA,NA,"6 : AW | 89 : RL","5 : AW | 101 : RL","AW: 11 | RL: 190 | Total: 201","AW: 12 | RL: 208 | TM: 13 | RB: 2 | Total: 235","RB: 2 | AW: 11 | RL: 190 | Total: 203","AW: 11 | RL: 190 | Total: 201"
"JM30","TM, RB",43,"2011, 2012",2,"2 : RB | 39 : TM","2 : RB",NA,NA,NA,NA,NA,NA,NA,"RB: 4 | TM: 39 | Total: 43",NA,NA
"JM34","RB",3,"2012, 2014",2,NA,"1 : RB",NA,"2 : RB",NA,NA,NA,NA,NA,"RB: 3 | Total: 3","RB: 2 | Total: 2",NA
"JM35","RB",2,"2013",1,NA,NA,"2 : RB",NA,NA,NA,NA,NA,NA,"RB: 2 | Total: 2","RB: 2 | Total: 2",NA
"JM42","FP",1,"2013",1,NA,NA,"1 : FP",NA,NA,NA,NA,NA,NA,"FP: 1 | Total: 1","FP: 1 | Total: 1",NA
"JM43","AW",12,"2014",1,NA,NA,NA,"12 : AW",NA,NA,NA,NA,NA,"AW: 12 | Total: 12","AW: 12 | Total: 12",NA
"JM45","FP",2,"2011",1,"2 : FP",NA,NA,NA,NA,NA,NA,NA,NA,"FP: 2 | Total: 2",NA,NA
"JM51","RB, AW",16,"2013, 2016, 2011, 2012",4,"6 : AW","6 : AW","2 : RB",NA,NA,"2 : RB",NA,NA,"RB: 2 | Total: 2","AW: 12 | RB: 4 | Total: 16","RB: 4 | Total: 4","RB: 2 | Total: 2"
"JM52","RB, AW",20,"2013, 2016",2,NA,NA,"12 : AW | 4 : RB",NA,NA,"4 : RB",NA,NA,"RB: 4 | Total: 4","AW: 12 | RB: 8 | Total: 20","AW: 12 | RB: 8 | Total: 20","RB: 4 | Total: 4"
"JM53","FP, IM, RL, RB, PA",112,"2014, 2015, 2013, 2012, 2011",5,"2 : RB","4 : RB","42 : RL","2 : FP | 12 : PA | 2 : RB | 41 : RL","7 : IM",NA,NA,NA,"IM: 7 | Total: 7","RB: 8 | RL: 83 | FP: 2 | PA: 12 | IM: 7 | Total: 112","RL: 83 | FP: 2 | PA: 12 | RB: 2 | IM: 7 | Total: 106","IM: 7 | Total: 7"
"JM54","FP, RB, PA",16,"2016, 2013",2,NA,NA,"2 : RB",NA,NA,"2 : FP | 12 : PA",NA,NA,"FP: 2 | PA: 12 | Total: 14","RB: 2 | FP: 2 | PA: 12 | Total: 16","RB: 2 | FP: 2 | PA: 12 | Total: 16","FP: 2 | PA: 12 | Total: 14"
"JM55","AW, FP",14,"2011, 2012, 2013",3,"6 : AW","6 : AW","2 : FP",NA,NA,NA,NA,NA,NA,"AW: 12 | FP: 2 | Total: 14","FP: 2 | Total: 2",NA
"JM56","RB, AW",14,"2012, 2015",2,NA,"2 : RB",NA,NA,"12 : AW",NA,NA,NA,"AW: 12 | Total: 12","RB: 2 | AW: 12 | Total: 14","AW: 12 | Total: 12","AW: 12 | Total: 12"
"JM57","AW, RB, TR",52,"2011, 2012, 2013, 2016, 2014, 2015",6,"6 : AW | 6 : TR","6 : AW | 6 : TR","2 : RB | 6 : TR","6 : TR","6 : TR","2 : RB | 6 : TR",NA,NA,"TR: 12 | RB: 2 | Total: 14","AW: 12 | TR: 36 | RB: 4 | Total: 52","RB: 4 | TR: 24 | Total: 28","TR: 12 | RB: 2 | Total: 14"
"JM58","RB, TR",38,"2013, 2011, 2012, 2014, 2015, 2016",6,"6 : TR","6 : TR","2 : RB | 6 : TR","6 : TR","6 : TR","6 : TR",NA,NA,"TR: 12 | Total: 12","TR: 36 | RB: 2 | Total: 38","RB: 2 | TR: 24 | Total: 26","TR: 12 | Total: 12"
"JM62","PA, FP",14,"2016",1,NA,NA,NA,NA,NA,"2 : FP | 12 : PA",NA,NA,"FP: 2 | PA: 12 | Total: 14","FP: 2 | PA: 12 | Total: 14","FP: 2 | PA: 12 | Total: 14","FP: 2 | PA: 12 | Total: 14"
"JM63","AW, RB",15,"2014, 2016",2,NA,NA,NA,"12 : AW | 2 : RB",NA,"1 : RB",NA,NA,"RB: 1 | Total: 1","AW: 12 | RB: 3 | Total: 15","AW: 12 | RB: 3 | Total: 15","RB: 1 | Total: 1"
"JM64","TR, AW",48,"2011, 2012, 2013, 2014, 2015, 2016",6,"6 : AW | 6 : TR","6 : AW | 6 : TR","6 : TR","6 : TR","6 : TR","6 : TR",NA,NA,"TR: 12 | Total: 12","AW: 12 | TR: 36 | Total: 48","TR: 24 | Total: 24","TR: 12 | Total: 12"
"JM65","AW, PA",24,"2011, 2012, 2014",3,"6 : AW","6 : AW",NA,"12 : PA",NA,NA,NA,NA,NA,"AW: 12 | PA: 12 | Total: 24","PA: 12 | Total: 12",NA
"JM66","AW, RB",26,"2011, 2012, 2013",3,"12 : AW","12 : AW","2 : RB",NA,NA,NA,NA,NA,NA,"AW: 24 | RB: 2 | Total: 26","RB: 2 | Total: 2",NA
"JM67","AW",12,"2013",1,NA,NA,"12 : AW",NA,NA,NA,NA,NA,NA,"AW: 12 | Total: 12","AW: 12 | Total: 12",NA
"JM68","AW, RB, FP, TR",63,"2011, 2012, 2014, 2013, 2015, 2016",6,"12 : AW | 1 : FP | 6 : TR","12 : AW | 6 : TR","6 : TR","2 : RB | 6 : TR","6 : TR","6 : TR",NA,NA,"TR: 12 | Total: 12","AW: 24 | FP: 1 | TR: 36 | RB: 2 | Total: 63","TR: 24 | RB: 2 | Total: 26","TR: 12 | Total: 12"
"JM69","IM",18,"2015, 2016",2,NA,NA,NA,NA,"6 : IM","12 : IM",NA,NA,"IM: 18 | Total: 18","IM: 18 | Total: 18","IM: 18 | Total: 18","IM: 18 | Total: 18"
