"","FDT_STA_ID","Year","Sample n","SPG codes","SPG codes First","IR2022 Sample n","IR2024 Sample n","IR2026 Sample n","IR2028 Sample n","IR24Temp","IR24pH","IR24DO","IR24SpC","IR26Temp","IR26pH","IR26DO","IR26SpC","IR28Temp","IR28pH","IR28DO","IR28SpC","flag"
"435","4AXWO000.30",2021,4,"FP","FP",NA,4,4,4,100,100,100,50,100,100,100,100,100,100,100,100,"FLAG"
"436","9-BCK015.98",2021,24,"AW","AW",NA,24,24,24,100,100,91.6666666666667,50,100,100,100,100,100,100,100,100,"FLAG"
"437","9-BSH000.05",2021,24,"AW","AW",NA,24,24,24,100,100,91.6666666666667,50,100,100,100,100,100,100,100,100,"FLAG"
"438","9-CBC001.00",2021,2,"RB","RB",NA,8,8,8,100,100,100,50,100,100,100,100,100,100,100,100,"FLAG"
"439","9-CBC001.00",2022,6,"IM","IM",NA,8,8,8,100,100,100,50,100,100,100,100,100,100,100,100,"FLAG"
"440","9-CBC004.38",2021,2,"RB","RB",NA,2,2,2,100,100,100,50,100,100,100,100,100,100,100,100,"FLAG"
"441","9-CBC006.35",2021,2,"RB","RB",NA,2,2,2,100,100,100,50,100,100,100,100,100,100,100,100,"FLAG"
"442","9-CNL000.06",2021,12,"TM","TM",NA,12,12,12,100,100,83.3333333333333,50,100,100,100,100,100,100,100,100,"FLAG"
"443","9-DDW000.47",2021,4,"FP","FP",NA,4,4,4,100,100,100,50,100,100,100,100,100,100,100,100,"FLAG"
"444","9-LRV000.44",2021,87,"RL","RL",NA,111,111,111,90.990990990991,90.990990990991,90.990990990991,45.945945945946,90.990990990991,90.990990990991,90.990990990991,90.990990990991,90.990990990991,90.990990990991,90.990990990991,90.990990990991,"FLAG"
"445","9-LRV000.44",2022,24,"RL","RL",NA,111,111,111,90.990990990991,90.990990990991,90.990990990991,45.945945945946,90.990990990991,90.990990990991,90.990990990991,90.990990990991,90.990990990991,90.990990990991,90.990990990991,90.990990990991,"FLAG"
"446","9-LRV009.11",2021,12,"TR","TR",NA,18,18,18,100,100,100,50,100,100,100,100,100,100,100,100,"FLAG"
