"Huc6_Vahu6","FDT_SPG_CODE","nObservations","yearsSampled","nYearsSampled","n_Samples_2013","n_Samples_2014","n_Samples_2015","n_Samples_2016","n_Samples_2017","n_Samples_2018","n_Samples_2019","n_Samples_2016_2019","n_Samples_IR2020","n_Samples_IR2022","n_Samples_IR2024"
"JM11","TM, TR",53,"2018, 2013, 2014, 2015, 2016, 2017, 2019",7,"6 : TR","6 : TR","6 : TR","6 : TR","1 : TM | 6 : TR","7 : TM | 6 : TR","4 : TM | 5 : TR","TR: 23 | TM: 12 | Total: 35","TR: 36 | TM: 8 | Total: 44","TR: 29 | TM: 12 | Total: 41","TM: 12 | TR: 17 | Total: 29"
"JM12","AW, QA, TM",13,"2017, 2018",2,NA,NA,NA,NA,"5 : AW | 1 : QA","5 : AW | 1 : QA | 1 : TM",NA,"AW: 10 | QA: 2 | TM: 1 | Total: 13","AW: 10 | QA: 2 | TM: 1 | Total: 13","AW: 10 | QA: 2 | TM: 1 | Total: 13","AW: 10 | QA: 2 | TM: 1 | Total: 13"
"JM13","AW, PA, FP, QA, TM",43,"2013, 2018, 2017, 2019",4,"12 : AW",NA,NA,NA,"3 : FP | 11 : PA | 1 : QA","2 : FP | 12 : PA | 1 : TM","1 : TM","FP: 5 | PA: 23 | QA: 1 | TM: 2 | Total: 31","AW: 12 | FP: 5 | PA: 23 | QA: 1 | TM: 1 | Total: 42","FP: 5 | PA: 23 | QA: 1 | TM: 2 | Total: 31","FP: 5 | PA: 23 | QA: 1 | TM: 2 | Total: 31"
"JM14","PA, AW",22,"2014, 2019",2,NA,"12 : PA",NA,NA,NA,NA,"10 : AW","AW: 10 | Total: 10","PA: 12 | Total: 12","AW: 10 | Total: 10","AW: 10 | Total: 10"
"JM15","AW",22,"2014, 2019",2,NA,"12 : AW",NA,NA,NA,NA,"10 : AW","AW: 10 | Total: 10","AW: 12 | Total: 12","AW: 10 | Total: 10","AW: 10 | Total: 10"
"JM16","AW, RB",18,"2015, 2014",2,NA,"4 : RB","12 : AW | 2 : RB",NA,NA,NA,NA,NA,"RB: 6 | AW: 12 | Total: 18","AW: 12 | RB: 2 | Total: 14",NA
"JM17","AW, FP",23,"2013, 2017, 2019",3,"12 : AW",NA,NA,NA,"1 : FP",NA,"10 : AW","FP: 1 | AW: 10 | Total: 11","AW: 12 | FP: 1 | Total: 13","FP: 1 | AW: 10 | Total: 11","FP: 1 | AW: 10 | Total: 11"
"JM18","AW",12,"2017, 2018",2,NA,NA,NA,NA,"6 : AW","6 : AW",NA,"AW: 12 | Total: 12","AW: 12 | Total: 12","AW: 12 | Total: 12","AW: 12 | Total: 12"
"JM19","AW",12,"2016",1,NA,NA,NA,"12 : AW",NA,NA,NA,"AW: 12 | Total: 12","AW: 12 | Total: 12","AW: 12 | Total: 12",NA
"JM20","AW, PA, TM, FP",42,"2015, 2017, 2018, 2016, 2019",5,NA,NA,"12 : AW","1 : FP | 12 : PA","1 : FP | 12 : PA | 1 : TM","2 : TM","1 : TM","FP: 2 | PA: 24 | TM: 4 | Total: 30","AW: 12 | FP: 2 | PA: 24 | TM: 3 | Total: 41","AW: 12 | FP: 2 | PA: 24 | TM: 4 | Total: 42","FP: 1 | PA: 12 | TM: 4 | Total: 17"
"JM28","AW, RL, QA",110,"2017, 2018",2,NA,NA,NA,NA,"6 : AW | 1 : QA | 42 : RL","6 : AW | 55 : RL",NA,"AW: 12 | QA: 1 | RL: 97 | Total: 110","AW: 12 | QA: 1 | RL: 97 | Total: 110","AW: 12 | QA: 1 | RL: 97 | Total: 110","AW: 12 | QA: 1 | RL: 97 | Total: 110"
"JM29","AW, RL, RB",210,"2017, 2018, 2013",3,"2 : RB",NA,NA,NA,"6 : AW | 89 : RL","6 : AW | 107 : RL",NA,"AW: 12 | RL: 196 | Total: 208","RB: 2 | AW: 12 | RL: 196 | Total: 210","AW: 12 | RL: 196 | Total: 208","AW: 12 | RL: 196 | Total: 208"
"JM30","PA, AW",10,"2019",1,NA,NA,NA,NA,NA,NA,"9 : AW | 1 : PA","AW: 9 | PA: 1 | Total: 10",NA,"AW: 9 | PA: 1 | Total: 10","AW: 9 | PA: 1 | Total: 10"
"JM31","TR, PA, TM, FP",50,"2013, 2014, 2015, 2016, 2017, 2018, 2019",7,"6 : TR","6 : TR","1 : FP | 6 : PA | 6 : TR","6 : TR","6 : TR","1 : FP | 1 : TM | 6 : TR","5 : TR","TR: 23 | FP: 1 | TM: 1 | Total: 25","TR: 36 | FP: 2 | PA: 6 | TM: 1 | Total: 45","FP: 2 | PA: 6 | TR: 29 | TM: 1 | Total: 38","TR: 17 | FP: 1 | TM: 1 | Total: 19"
"JU08","RL, AW, RB",2424,"2013, 2014, 2017, 2018",4,"617 : RL","591 : RL",NA,NA,"2 : AW | 1 : RB | 588 : RL","7 : AW | 618 : RL",NA,"AW: 9 | RB: 1 | RL: 1206 | Total: 1216","RL: 2414 | AW: 9 | RB: 1 | Total: 2424","AW: 9 | RB: 1 | RL: 1206 | Total: 1216","AW: 9 | RB: 1 | RL: 1206 | Total: 1216"
"JU10","RB, TM, PA, SS",61,"2014, 2015, 2013, 2018, 2016, 2017",6,"6 : RB","8 : RB","14 : RB","12 : PA | 5 : RB","3 : RB | 1 : SS","3 : RB | 3 : SS | 6 : TM",NA,"PA: 12 | RB: 11 | SS: 4 | TM: 6 | Total: 33","RB: 39 | PA: 12 | SS: 4 | TM: 6 | Total: 61","RB: 25 | PA: 12 | SS: 4 | TM: 6 | Total: 47","RB: 6 | SS: 4 | TM: 6 | Total: 16"
"JU11","AW, FP, PA, RB, TR, TM",156,"2013, 2014, 2015, 2016, 2017, 2018, 2019",7,"11 : AW | 1 : FP | 12 : PA | 1 : RB","10 : AW | 1 : RB | 6 : TR","10 : AW | 1 : FP | 1 : RB | 6 : TR","6 : AW | 1 : FP | 2 : RB | 6 : TR","6 : AW | 1 : FP | 2 : RB | 6 : TR","2 : AW | 1 : RB | 6 : TR","6 : AW | 1 : FP | 41 : TM | 9 : TR","AW: 20 | FP: 3 | RB: 5 | TR: 27 | TM: 41 | Total: 96","AW: 45 | FP: 4 | PA: 12 | RB: 8 | TR: 30 | Total: 99","AW: 30 | FP: 4 | RB: 6 | TR: 33 | TM: 41 | Total: 114","AW: 14 | FP: 2 | RB: 3 | TR: 21 | TM: 41 | Total: 81"
"JU12","AW, QA",22,"2014, 2019",2,NA,"12 : AW",NA,NA,NA,NA,"9 : AW | 1 : QA","AW: 9 | QA: 1 | Total: 10","AW: 12 | Total: 12","AW: 9 | QA: 1 | Total: 10","AW: 9 | QA: 1 | Total: 10"
"JU13","AW, FP",23,"2014, 2019",2,NA,"12 : AW | 2 : FP",NA,NA,NA,NA,"9 : AW","AW: 9 | Total: 9","AW: 12 | FP: 2 | Total: 14","AW: 9 | Total: 9","AW: 9 | Total: 9"
"JU14","AW, QA, FP, RB",22,"2013, 2019",2,"11 : AW | 1 : FP | 1 : QA | 1 : RB",NA,NA,NA,NA,NA,"8 : AW","AW: 8 | Total: 8","AW: 11 | FP: 1 | QA: 1 | RB: 1 | Total: 14","AW: 8 | Total: 8","AW: 8 | Total: 8"
"JU15","TR, TM",40,"2013, 2014, 2015, 2016, 2017, 2018, 2019",7,"6 : TR","6 : TM","5 : TR","6 : TR","6 : TR","6 : TR","5 : TR","TR: 23 | Total: 23","TR: 29 | TM: 6 | Total: 35","TR: 28 | Total: 28","TR: 17 | Total: 17"
"JU18","AW, RB",14,"2014, 2018",2,NA,"12 : AW",NA,NA,NA,"2 : RB",NA,"RB: 2 | Total: 2","AW: 12 | RB: 2 | Total: 14","RB: 2 | Total: 2","RB: 2 | Total: 2"
"JU19","RB, TM",14,"2014, 2015, 2016",3,NA,"2 : RB","6 : TM","6 : TM",NA,NA,NA,"TM: 6 | Total: 6","RB: 2 | TM: 12 | Total: 14","TM: 12 | Total: 12",NA
"JU20","TR",39,"2013, 2014, 2015, 2016, 2017, 2018, 2019",7,"6 : TR","6 : TR","5 : TR","5 : TR","6 : TR","6 : TR","5 : TR","TR: 22 | Total: 22","TR: 34 | Total: 34","TR: 27 | Total: 27","TR: 17 | Total: 17"
